baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000003	9095.78677484921	-0.0392393155333045	0.276651305421891	-0.14183672646498	0.88720897379567	0.987722915119931
ENSG00000000419	3261.15110936226	-0.141776050086643	0.158185704865534	-0.896263352033989	0.370112127324287	0.885422982711851
ENSG00000000457	1516.51089901692	0.0580011922369121	0.302375839219771	0.191818210034817	0.847884606290527	0.979401987363156
ENSG00000000460	4615.56199324174	0.17897233259203	0.469990069319902	0.380800242973243	0.70335147895747	0.960370300680474
ENSG00000001036	4548.39766535626	0.392076231617776	0.178653110847206	2.19462303095915	0.0281906500661102	0.456929182961794
ENSG00000001084	3494.92070081316	-0.355488042430224	0.265827776547935	-1.33728704745089	0.181128957298675	0.770609785997662
ENSG00000001167	1944.46120816104	0.617410074507497	0.621447165390096	0.993503726290126	0.320464535448483	0.863472912432052
ENSG00000001460	786.893987582271	-0.0456230269234924	0.265436840987311	-0.171879030634159	0.863532632366602	0.983393478071487
ENSG00000001461	1793.63320002236	-0.361890621219347	0.231698400660668	-1.56190383786616	0.118310644240363	0.698897079304571
ENSG00000001497	3566.75671498999	0.0999255234437429	0.168248576886947	0.593916009826859	0.552568290422415	0.93104851193257
ENSG00000001561	503.758933348784	-0.0721529283945265	0.23716433820901	-0.304231778434323	0.760951315877144	0.970635613784763
ENSG00000001617	4803.420467043	-0.526308156418074	0.600118308337298	-0.877007331898065	0.380482655710336	0.889220147185876
ENSG00000001626	4550.86461649615	0.380001978400172	0.279967345430287	1.35730821684271	0.174683297589002	0.761970581627901
ENSG00000001629	5020.74990786976	-0.14858680013894	0.139783941807413	-1.06297474672488	0.28779340366982	0.853496094601043
ENSG00000001630	5970.66522456321	0.182933018878103	0.231865643522686	0.788961297149675	0.43013462748713	0.903307440072175
ENSG00000001631	1974.37179533011	0.122752857411008	0.233183480560827	0.526421756445938	0.598595202551361	0.939739009600427
ENSG00000002016	1489.2160821618	0.0505421631920563	0.179514599321203	0.281549040485681	0.778289319704623	0.970635613784763
ENSG00000002330	1421.98649155118	0.202668417434874	0.159342275503735	1.27190613284623	0.20340647257444	0.795110609494468
ENSG00000002549	2836.65974545923	0.304327569798114	0.15259815511258	1.99430700570131	0.0461185141111181	0.545449772706438
ENSG00000002586	8498.30344762857	0.187061763236788	0.384219829523319	0.486861293621584	0.626356630279448	0.944616586071047
ENSG00000002587	544.578749370571	0.109770948596966	0.485429400015255	0.226131644670712	0.821099033080023	0.976759749984145
ENSG00000002822	2162.92524559065	-0.100566533655537	0.250962735528576	-0.400722973646763	0.688624094602231	0.958833834076048
ENSG00000002834	20702.609044005	0.243847782524462	0.181002764623	1.34720474039365	0.177914301661065	0.767916537743726
ENSG00000002919	1801.51580994244	-0.337467164222289	0.201882868921567	-1.67159881383198	0.0946034588422239	0.66739626935881
ENSG00000002933	223.751329266295	-0.449116329073359	0.441030303136134	-1.01833439988075	0.308519065789283	0.86101264556141
ENSG00000003056	7971.74580956336	-0.0211511302492427	0.315653030745962	-0.0670075310199227	0.946575707790661	0.990001395360849
ENSG00000003096	1739.23017157808	0.396779223772443	0.42545439608943	0.932601067046068	0.351025982242152	0.878436204029139
ENSG00000003137	2015.63622542604	-1.06623663259857	0.579815954874888	-1.83892254711866	0.0659265789564987	0.603464298147951
ENSG00000003147	2406.56864567641	-0.375332677057152	0.269967859658295	-1.3902865234855	0.164441888499809	0.753134782925902
ENSG00000003249	1979.53905317224	0.241268029269894	0.371293556397132	0.649803976161211	0.515818850241501	0.920272748543785
