baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000003	629.144399506636	-0.130443908083585	0.109528434561099	-1.19095930300017	0.233669561825794	0.385050938302906
ENSG00000000419	685.339346314899	0.131833859587621	0.0988545874942056	1.33361397714951	0.182330399847752	0.326023951509049
ENSG00000000457	179.839491574393	0.0656173343686891	0.114033162427893	0.575423262598556	0.565005075141726	0.696372613625509
ENSG00000000460	247.237916987174	0.0688506849146817	0.223180760701588	0.308497402277167	0.757703876604038	0.846853780307146
ENSG00000000971	1031.84757683276	-0.964000424958622	0.470884816220828	-2.04721068030051	0.0406374032339129	0.122329324438551
ENSG00000001036	894.933393618223	-0.221285082187046	0.0858326327229785	-2.57809967103345	0.00993453380783107	0.0507587178134435
ENSG00000001084	1568.35506312349	-0.125981895493269	0.166437884575663	-0.756930405685356	0.449091557963735	0.596422655921568
ENSG00000001167	445.491587471211	0.199659534170132	0.106957725667688	1.86671446988751	0.061941471968966	0.162503038058132
ENSG00000001460	242.105238776987	0.431608140331173	0.117590218695205	3.67044253442462	0.000242130902836542	0.00500077045981598
ENSG00000001461	721.101860136593	0.0106563545733067	0.0757568601638643	0.140665209068283	0.888134430898925	0.933659378875822
ENSG00000001497	1122.52082242429	-0.246236054918204	0.169143525639502	-1.45578173321875	0.14545296699548	0.281476205183763
ENSG00000001617	976.167041714873	0.0591074730563353	0.237656818889766	0.248709350451045	0.803585615461039	0.879398982917771
ENSG00000001629	830.909618953535	0.447048515842932	0.185025674608062	2.41614314764646	0.0156858932871912	0.0681018557187418
ENSG00000001630	1637.76931445059	-0.151238030249901	0.114906350667088	-1.31618513138647	0.188111912940477	0.33274138279625
ENSG00000001631	395.070027689657	0.218913673373707	0.168436854725896	1.29967799345312	0.19371135588925	0.339878539625605
ENSG00000002016	163.493417768501	0.257290633379138	0.0917802611280809	2.803332984857	0.00505774204023414	0.0333702878931308
ENSG00000002330	616.381872451322	-0.672256788807492	0.321796788498131	-2.08907239859355	0.0367012065270674	0.115056615117324
ENSG00000002549	705.264640664022	0.763765419484193	0.163277295133783	4.67771969677961	2.90082707195964e-06	0.000223790598840574
ENSG00000002586	1879.8399230815	-0.193380788374731	0.192210757786053	-1.00608722738599	0.314373612230637	0.469439516939613
ENSG00000002587	311.909174734833	-0.0333648121277456	0.181043570329009	-0.184291615919373	0.85378469080955	0.911682888029022
ENSG00000002822	389.254093383577	-0.516467788597336	0.230053660384284	-2.24498835504127	0.0247688801415368	0.0909148100564356
ENSG00000002834	7997.51628473467	-0.274429470375616	0.140172466604987	-1.95779868202627	0.0502536401480628	0.141696361334469
ENSG00000002919	308.696028602645	0.0543079195501669	0.109055414893872	0.497984621882529	0.618494881242259	0.740892826697942
ENSG00000003056	2568.99012132675	-0.100734989131765	0.107125503141678	-0.940345540300878	0.347040347126028	0.501556032048224
ENSG00000003137	317.38185285893	0.131021849913175	0.166121031019569	0.788713199701607	0.430279651328026	0.578987220661742
ENSG00000003147	211.671355668533	0.409685662695033	0.205007077163005	1.99839765711738	0.0456735654442795	0.132426247213753
ENSG00000003249	699.214551345753	-0.375131804271183	0.181795814081023	-2.06347877792166	0.0390671620718453	0.119659759338072
ENSG00000003393	601.036718274373	0.243520803723537	0.109953483310881	2.21476206474523	0.0267764003094154	0.0953140088189378
ENSG00000003400	183.007131495908	0.18928373255297	0.0942507112393544	2.00830030950402	0.0446113890296613	0.130377729124802
ENSG00000003402	2510.50855532604	0.422306895942718	0.140726194110745	3.00091179621033	0.00269172522268095	0.0227934352980693
ENSG00000003436	999.088391054689	0.286234902309107	0.21975383505635	1.30252517429655	0.192736917960376	0.338729181898735
ENSG00000003509	305.471880566446	0.0625277271404213	0.0790600984173154	0.790888556833959	0.429009026577116	0.577874025809639
ENSG00000003756	951.072785876881	0.0898465061392865	0.0920501397023201	0.976060508216936	0.329034480142225	0.483857706794459
ENSG00000003989	196.48173995555	0.451275463595816	0.26180104021099	1.72373441767888	0.084755798707573	0.197263696118204
ENSG00000004059	1634.00491763273	-0.386358317639375	0.247771573257114	-1.55933270536426	0.118917654741494	0.246339927206863
ENSG00000004142	1935.94509464753	-0.252504851884651	0.122977832796973	-2.05325501467827	0.040047851305438	0.12120777700312
ENSG00000004399	667.91708675948	-0.34608836746432	0.203010136873848	-1.7047836762919	0.0882347770487618	0.202679101147254
ENSG00000004455	2008.63529788532	-0.22946989696794	0.120099033552828	-1.91067230251277	0.056046706348666	0.152089732171224
ENSG00000004478	2771.25865889654	-0.468738877433958	0.188100566090088	-2.49195888761686	0.0127040741456138	0.0588514569581898
ENSG00000004487	1357.01294976113	-0.0117835142964326	0.0718835025680746	-0.163925154944606	0.869790064178692	0.921809309140865
ENSG00000004534	730.287645731848	0.0304889668222437	0.106404510744271	0.286538292493255	0.774465869186696	0.859288670332841
ENSG00000004660	249.649928861735	-0.144741280287015	0.171896066397381	-0.84202787952349	0.399772348201986	0.550308544562016
ENSG00000004700	904.057654175833	0.225695714483017	0.15819908686324	1.42665624029882	0.153679004820367	0.291811007696297
ENSG00000004766	257.673665904097	0.148141768790706	0.145575168683389	1.01763075482261	0.308853465974284	0.464031763491845
ENSG00000004779	824.824398465913	-0.489587131080389	0.147470783597071	-3.31989238233161	0.000900521551505277	0.0114019733753053
ENSG00000004799	430.20634956568	-0.497860822142777	0.298363678085612	-1.66863750084191	0.0951892421844828	0.212374477000032
ENSG00000004864	561.273948243886	-0.00816647539133875	0.125853636998268	-0.0648886721601149	0.948262639892935	0.970437151479864
