baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000003	681.055792478794	0.207093318420508	0.153353118390867	1.35043434782114	0.176876699421408	0.360703874511648
ENSG00000000419	521.732901632556	-0.0721830389084779	0.071822071402938	-1.00502585762968	0.314884399011034	0.516638849850366
ENSG00000000457	1062.33512452098	-0.138598960711672	0.172050843296166	-0.805569784235756	0.420490953806114	0.616177093604468
ENSG00000000460	274.216042728536	-0.0299803738878331	0.0742311469805536	-0.403878629218637	0.686301972202823	0.817955605794219
ENSG00000000938	679.695242477791	0.103103663265455	0.242707146059041	0.424806870912544	0.6709774684819	0.807231406987302
ENSG00000000971	2101.19912017912	0.407319370668812	0.25042779202825	1.62649427753155	0.103844549719491	0.257809512284573
ENSG00000001036	794.141373831987	-0.129142226821508	0.088460741009228	-1.45988181139062	0.144322558873724	0.318897274699269
ENSG00000001084	1987.99269427076	-0.319793363066225	0.0937384024891084	-3.4115512380679	0.000645943600741018	0.00666526474681348
ENSG00000001167	1241.34047135265	-0.371428240027197	0.0897087970403184	-4.14037700071113	3.46735491107792e-05	0.000694090700175097
ENSG00000001460	937.281436173401	-0.00117451382110912	0.105770483879287	-0.0111043627487756	0.991140182484969	0.995448475101504
ENSG00000001461	7781.57111178403	-0.647675500969993	0.165360224091541	-3.91675509953017	8.97488390712367e-05	0.00143547768984098
ENSG00000001497	2256.78572220418	-0.391711435435371	0.107314960159076	-3.65011024422622	0.000262127779850847	0.00337489516557965
ENSG00000001561	1989.85923748177	-0.421615889913164	0.129270581229778	-3.26149914313253	0.00110824767509374	0.00991565606946774
ENSG00000001617	795.502433856539	0.654678549724244	0.18096203798333	3.61776733407783	0.000297155337202733	0.00374963981955153
ENSG00000001626	365.161264905188	-0.232543389116026	0.0938993636118959	-2.47651720066148	0.0132671232097622	0.0625596449642896
ENSG00000001629	3216.22274330687	-0.332530181828473	0.0950352498219332	-3.49901938966365	0.000466972621591919	0.00523904060628519
ENSG00000001630	2592.18542437116	-0.187346940627409	0.122432577136911	-1.53020499125741	0.125965996304842	0.293256632772357
ENSG00000001631	1410.43860402955	-0.0899167532921403	0.0618774203736077	-1.45314321038652	0.146183995853392	0.321442941434715
ENSG00000002016	783.780651538958	0.268823574622375	0.111103445398189	2.41957910179044	0.0155384807901701	0.0699702250593437
ENSG00000002330	1574.29486878018	0.0272592725103654	0.0795316308126174	0.342747561339341	0.731788378786032	0.847761887694531
ENSG00000002549	1422.09236055764	0.541714345193256	0.136175214764884	3.97806859441024	6.94773304550481e-05	0.00119173898866429
ENSG00000002586	2583.4913911242	0.900275982863377	0.141311820474397	6.37084696694918	1.87987145519946e-10	3.78141672247063e-08
ENSG00000002587	675.048574763954	-0.252310240336425	0.166147701505417	-1.51859001388712	0.128865726317192	0.297870243148757
