logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000170476	3.60636979495268	5.72203419099282	14.9502217837845	3.21083464086142e-16	2.35847354696848e-12	26.9789760106247
ENSG00000171848	3.6774264851561	4.50864147260567	14.4260385095224	8.92599384069561e-16	2.35847354696848e-12	25.9459062388688
ENSG00000167900	3.11997606809394	3.9198611044553	14.4188811159581	9.05319406816658e-16	2.35847354696848e-12	25.907636225698
ENSG00000167513	2.52091314567812	2.03147893236435	14.4159778950706	9.10531843624535e-16	2.35847354696848e-12	25.5770608958265
ENSG00000166851	3.64476588759431	2.63307494407207	14.2467033224235	1.27441532976698e-15	2.35847354696848e-12	25.3637333921063
ENSG00000175063	3.49444168628041	2.0530844237529	14.3013352689122	1.14300286340559e-15	2.35847354696848e-12	25.3217821121879
ENSG00000145386	3.63327319482243	2.39144820421547	14.2429194732044	1.28407208748381e-15	2.35847354696848e-12	25.3006708373311
ENSG00000178999	3.13953712583924	1.9858704569012	14.1236016825957	1.63040861205651e-15	2.62027044065132e-12	24.9915984105873
ENSG00000239264	2.67228397475494	8.22358872636733	13.9111885697935	2.50323846859487e-15	3.21841369907242e-12	24.9344922420767
ENSG00000111206	2.79868730429544	2.19433505733399	13.9803305462591	2.17603983634459e-15	3.10859379732026e-12	24.7958054381619
ENSG00000101057	3.59499814478938	4.76903703025071	13.7755297750052	3.29987322213133e-15	3.8246156582031e-12	24.6690120355857
ENSG00000117399	3.70230588257254	2.64247065764061	13.7371157109282	3.56968094411116e-15	3.8246156582031e-12	24.3880275147147
ENSG00000088325	3.06108265462766	2.9186728255396	13.4967274013567	5.85837504787462e-15	5.793932922348e-12	23.9907397625671
ENSG00000148773	3.12514021754218	4.18703305905871	13.2721784890999	9.35839236372589e-15	8.59434647288742e-12	23.6343471154727
ENSG00000017483	1.53552655372422	4.7981916148151	12.7060998343206	3.12468070295423e-14	2.51087623736766e-11	22.4283256236029
ENSG00000089685	3.74377516553366	2.64436072669694	12.7063914439539	3.1227115292984e-14	2.51087623736766e-11	22.3203556427933
