logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000198695	0.880266205358792	7.32470074392423	5.96915206163241	3.84589172971448e-06	0.0440777651142576	4.19998594518277
ENSG00000110104	-0.605328192542299	4.8727042226821	-5.38868756620376	1.61546096411196e-05	0.0925739905484361	2.74980453991342
ENSG00000031081	-0.911403688986802	3.99814803679176	-5.07924981924643	3.50894593230139e-05	0.100540073325266	1.9557385047746
ENSG00000162366	2.82057145801061	3.40444525013454	5.20473421746903	2.56008610806112e-05	0.0978038229482948	1.37419621942098
ENSG00000174807	-1.62173101501185	2.86806723975482	-4.79787461275746	7.13461176059325e-05	0.163539570776318	1.15940827982171
ENSG00000100351	1.01381144731959	6.75276470601539	4.46239142110902	0.000166721142368546	0.272970144669415	0.894084747487811
ENSG00000139182	1.33479415424708	3.46350381628392	4.55838119615229	0.000130759401311942	0.249772249739361	0.543241216782608
ENSG00000108846	1.21895828215457	5.3470469281618	4.34230488555005	0.000225922234168835	0.294081624353305	0.530055775066622
ENSG00000213977	0.842957082831166	6.16325584651454	4.23415880351217	0.000296963188365055	0.294081624353305	0.373443322039878
ENSG00000169905	-0.622535673268448	3.44209134024232	-4.29725626353402	0.000253184975185925	0.294081624353305	0.262276054057474
ENSG00000137497	-0.437251099052892	6.81450951641814	-4.04740073951942	0.000475694772093481	0.294081624353305	-0.0148847042324212
ENSG00000166710	0.424593034046443	13.2683015051863	4.01456398918338	0.000516687088651224	0.294081624353305	-0.0962767171842183
ENSG00000148484	0.68514975043882	7.37773791353005	3.9347680535784	0.00063145174304359	0.294081624353305	-0.265093823705772
ENSG00000167384	0.702697411218541	3.14832629680652	4.11570102827408	0.000400474052532077	0.294081624353305	-0.273767351663645
ENSG00000113658	0.915400903671407	3.41632847907451	4.07211998468672	0.000446977696689434	0.294081624353305	-0.315335398100815
ENSG00000116786	-0.537777221032428	6.55311713352218	-3.90133688630562	0.000686717487707878	0.294081624353305	-0.339626123265091
ENSG00000196227	0.769996057286137	3.67846788268283	4.01198541711291	0.000520050437891052	0.294081624353305	-0.358201618689944
ENSG00000187699	1.6256959603723	4.23785993296839	3.99549537313211	0.000542077572518557	0.294081624353305	-0.364227604160761
ENSG00000119242	0.57305567001839	4.28550136215227	3.94707083218431	0.000612240108575533	0.294081624353305	-0.369906601578662
ENSG00000119684	1.92511983254022	5.05954182515551	3.93865236844594	0.000625322621627371	0.294081624353305	-0.375500202382891
ENSG00000262771	-1.71598399402451	2.57878277860669	-3.97622197511846	0.000568995219082102	0.294081624353305	-0.451014317619753
ENSG00000184182	0.445122368988582	6.20967412971905	3.81116444461126	0.000860723830524526	0.294081624353305	-0.541468049532567
ENSG00000167600	-0.702445194988375	5.2352266945621	-3.80827315779227	0.000866969305550062	0.294081624353305	-0.558013050361488
ENSG00000168497	1.66760971230504	7.77917638894029	3.80006859616926	0.000884936111964924	0.294081624353305	-0.563070071952573
ENSG00000155367	-0.866003200419561	2.79538380446767	-3.89396245467274	0.000699537092512747	0.294081624353305	-0.627109977827875
ENSG00000148840	-0.640899257714344	5.09589460002878	-3.76417592363145	0.000967943551053206	0.294081624353305	-0.65662877637334
ENSG00000233093	1.36699580676325	2.4122806914104	4.03901162907094	0.000485850365209499	0.294081624353305	-0.66476798979396
ENSG00000111726	0.524239509113033	4.55457138705679	3.76966772579798	0.000954763453288826	0.294081624353305	-0.699261852801109
ENSG00000166946	0.352259972521252	7.65913819429331	3.73460353964329	0.00104205318125203	0.294081624353305	-0.708603298524409
ENSG00000116962	-0.894415835268967	3.43879831851976	-3.79127606810431	0.000904597654765277	0.294081624353305	-0.71786094665952
ENSG00000156265	1.43539701666283	6.35483159487201	3.7298366239516	0.00105451044086708	0.294081624353305	-0.722220571479077
ENSG00000168405	0.677028206755789	3.73023011019398	3.8032360594281	0.000877956769626915	0.294081624353305	-0.740177278378121
ENSG00000172965	0.909419568839023	3.89827522302484	3.79387472590365	0.000898742267468857	0.294081624353305	-0.748126418973952
ENSG00000075188	0.730734763404762	3.42288044299494	3.82290274524799	0.000835820054898258	0.294081624353305	-0.761634925021786
ENSG00000105281	-0.60735738499486	6.37711150922776	-3.70680014768879	0.00111680425697517	0.294081624353305	-0.767480254237381
ENSG00000115255	-0.734562967083069	2.40862419721979	-3.84005035633103	0.000800711478256981	0.294081624353305	-0.813451330530707
ENSG00000168118	0.488747000137713	5.25596953183626	3.67965123121263	0.00119487034424371	0.294081624353305	-0.844479798558717
ENSG00000175866	-0.785007630370215	4.46124216843032	-3.68383415092159	0.00118250239112199	0.294081624353305	-0.848385536774311
ENSG00000113742	-0.695498264343418	2.41531544429124	-3.79822173441197	0.000889030768889825	0.294081624353305	-0.887989538802343
ENSG00000102804	1.24016706744817	5.90131258771363	3.65253419986898	0.00127818545244697	0.294081624353305	-0.892971233237714
ENSG00000178209	-0.940432875460437	7.06724377131216	-3.64308925063908	0.00130852200212222	0.294081624353305	-0.909541445822136
ENSG00000134815	-0.4270132678657	4.78220514884876	-3.64916175977672	0.00128893748040119	0.294081624353305	-0.911926597836323
ENSG00000234487	1.57901770209674	6.88518234812891	3.62851871551164	0.00135671139655023	0.294081624353305	-0.936715163522956
ENSG00000274233	0.853562237562375	8.81021569763136	3.62740406083261	0.0013604687369333	0.294081624353305	-0.944591116421318
ENSG00000198786	0.621922276304078	9.21582655141537	3.59933861029451	0.00145850684004742	0.294081624353305	-1.00549538285822
ENSG00000113140	1.7211061523883	8.14438521564058	3.59296163201423	0.0014817297387245	0.294081624353305	-1.01842057997536
ENSG00000101162	1.56716149367175	8.37487326390121	3.5864994254967	0.00150563226845752	0.294081624353305	-1.03364621539868
ENSG00000133612	-0.663671928997566	5.57310956618371	-3.58112627954868	0.00152579363504912	0.294081624353305	-1.03877743381605
ENSG00000160712	-0.592803419464343	6.30293230958734	-3.57456625993311	0.00155076693440372	0.294081624353305	-1.05504295123688
ENSG00000159023	0.550117856908937	5.33991114557696	3.56613695930065	0.00158344426647524	0.294081624353305	-1.07964601261432
ENSG00000141854	1.45241099286144	1.65717116880966	3.88904014657303	0.000708225166337309	0.294081624353305	-1.08338105701158
ENSG00000127533	1.66187590751787	1.99845038095362	3.84624893438357	0.000788381472494826	0.294081624353305	-1.09984248367824
ENSG00000062282	-0.836441544156723	4.78505469827823	-3.55540994725206	0.00162600444628238	0.294081624353305	-1.10241516159843
ENSG00000127666	-0.683104124138906	4.67197368619797	-3.54031550218654	0.00168779291701835	0.294081624353305	-1.13813620107821
ENSG00000108960	1.30058833177639	5.23720883324404	3.54298885502352	0.00167668484252607	0.294081624353305	-1.14192045377743
ENSG00000101856	1.09447267982362	5.75478217761552	3.51554337431652	0.00179420465639904	0.294081624353305	-1.18219266365549
ENSG00000231488	1.61339272855433	5.82168506690926	3.5130080950366	0.00180545803765669	0.294081624353305	-1.19181079902965
ENSG00000163736	1.71862603974189	8.44651730148205	3.51260846361955	0.00180723816592074	0.294081624353305	-1.19432417864075
ENSG00000162599	-0.625531222907692	2.2678843659978	-3.64183692130895	0.00131259705237193	0.294081624353305	-1.20088192240728
ENSG00000138735	1.95280309385461	2.37254238454672	3.73464273853045	0.00104195134597414	0.294081624353305	-1.2375506945627
ENSG00000173715	0.716199948800257	2.89870239203302	3.60188331480348	0.00144933967916564	0.294081624353305	-1.2506552899433
ENSG00000023909	0.886160014748871	3.40573941319671	3.56268135033758	0.00159703425690108	0.294081624353305	-1.25522325998404
ENSG00000061273	-0.388930820120009	5.62398658741318	-3.47282951776318	0.00199327488217486	0.294081624353305	-1.26922428065703
ENSG00000214063	-0.559857420753846	5.7284442837272	-3.46602981249627	0.00202689283386255	0.294081624353305	-1.28441152465993
ENSG00000281320	-0.578716786404527	4.13977419373207	-3.47754708169245	0.00197027130758083	0.294081624353305	-1.28809273537975
ENSG00000100350	-1.00921347800304	2.28653500676798	-3.5753065751328	0.00154792872984633	0.294081624353305	-1.2903364522005
ENSG00000144893	2.30375507946275	1.47758935671846	3.75185153512037	0.000998176731920615	0.294081624353305	-1.30008888411242
ENSG00000166341	-0.960386419121879	2.0709618649319	-3.58745373623693	0.00150207883531566	0.294081624353305	-1.31021486488042
ENSG00000161405	1.02829693134321	5.33276729436622	3.44791960253073	0.00211915023688055	0.294081624353305	-1.32955496432852
ENSG00000099139	-0.611282377921531	4.80508101682771	-3.44524237924921	0.0021331313193533	0.294081624353305	-1.33190026694216
ENSG00000132846	-1.02681847749663	2.97319137761561	-3.48674253842556	0.00192617490021992	0.294081624353305	-1.3554851755548
