baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000003	395.724827576069	0.242902505598262	0.148475651978073	1.63597534250352	0.101844748042213	0.171310431080779
ENSG00000000419	708.388307299989	-0.246489588488483	0.108566343791581	-2.27040517235875	0.0231830109515377	0.0515573528747408
ENSG00000000457	396.14476559403	-0.237318988548731	0.0658676065461041	-3.60296966890119	0.000314602251065168	0.00168029073779932
ENSG00000000460	125.258564861398	0.226015799397481	0.140182209846917	1.61230016022929	0.106896638478165	0.178088022354751
ENSG00000000938	289.569237051962	1.01051568623422	0.190177539951509	5.31353853084792	1.07516688845837e-07	5.10006601769646e-06
ENSG00000000971	827.005940459511	0.992501525968743	0.266399560605197	3.7256124736618	0.000194841549183412	0.00116387791874403
ENSG00000001036	493.734664723279	0.0569512110879538	0.0962170636969739	0.591903441029088	0.55391524945294	0.654435970299391
ENSG00000001084	1459.30067388389	-0.156439345743295	0.113148765401259	-1.38259878654898	0.166787921353376	0.254983854266751
ENSG00000001167	640.326193271317	-0.042263795011293	0.0903480717962902	-0.467788566717684	0.639935797592215	0.728247435470751
ENSG00000001460	709.956959094084	-0.153678832006888	0.0603961054478281	-2.54451559198035	0.0109429426164637	0.0279965560574059
ENSG00000001461	3782.14400902039	-0.182510562513196	0.127101732647239	-1.43594079098622	0.15101919002201	0.235177744393441
ENSG00000001497	2174.57644234948	-0.00444827105616237	0.0914664447442748	-0.0486328190474551	0.961211915082937	0.972109858675996
ENSG00000001561	1710.29907769286	-0.252839306829241	0.119018750038723	-2.12436533526843	0.0336396062962325	0.069603152146021
ENSG00000001617	317.485815282543	1.05792403594666	0.201911229291017	5.23955026999444	1.60968394724419e-07	6.82552651137254e-06
ENSG00000001629	2024.88358832713	-0.0329650657314746	0.109634826167577	-0.300680603817326	0.763658060652511	0.828688804190014
ENSG00000001630	2685.09366403913	-0.127889577834145	0.0955075584023732	-1.33905190304778	0.18055377666962	0.271993947709733
ENSG00000001631	1077.59533651177	-0.190732392549672	0.0590903964647482	-3.22780695275005	0.00124743126863127	0.00493074088862655
ENSG00000002016	614.305921963317	0.328705705056904	0.110109340671882	2.98526630938989	0.00283331536318199	0.00945019846055389
ENSG00000002330	1817.0187982804	0.175180829936001	0.0901435730667881	1.9433535190158	0.0519734592104303	0.0988326705822675
ENSG00000002549	1198.70439985649	0.0317593136650708	0.114231431560144	0.278026049672233	0.780992362033855	0.841938469204411
ENSG00000002586	2050.84902975434	0.764385997012871	0.180942084790741	4.22447877671399	2.39494418921941e-05	0.000244491546015986
ENSG00000002587	212.088383346008	-0.148671110319023	0.105717265679015	-1.40630869862286	0.159632478243179	0.246285923219424
ENSG00000002746	1622.22352001508	-0.674734060314745	0.202341208389259	-3.33463492526302	0.000854114528614842	0.00365774046812252
ENSG00000002822	650.759864154419	0.108165109317958	0.0773550067154201	1.39829487334781	0.162024536745974	0.249055053909515
ENSG00000002834	3933.41843574832	0.0599947969863403	0.0732652276511185	0.81887136517243	0.412859808778343	0.523645408584913
ENSG00000002919	726.948578581877	0.146793314855544	0.0522621427155778	2.80878868006667	0.00497282763012664	0.014861592523212
ENSG00000002933	456.407884731994	0.909646556238667	0.196248981894081	4.63516573415713	3.56651614073364e-06	5.99019111627927e-05
ENSG00000003056	2442.21609618941	-0.0706865649260767	0.051503834573752	-1.37245246904588	0.1699226258241	0.258991257885055
ENSG00000003096	182.996054939048	-0.377563031353942	0.167620911107436	-2.25248167940064	0.0242918491944162	0.0535511545908853
ENSG00000003137	691.426817120595	-0.567390821249772	0.202611955615825	-2.80038174215942	0.00510422056647964	0.0151798419733748
ENSG00000003147	1203.69970278826	-0.548106919354456	0.157219585854908	-3.48625087882043	0.000489841385463742	0.00236498007523072
ENSG00000003249	2622.3372038181	-0.0728765714789449	0.14557431239527	-0.500614224308113	0.616642649720986	0.709127923869732
ENSG00000003393	1728.57478845761	-0.211339339417438	0.0569378324159344	-3.71175597050466	0.000205826377163842	0.00120973646907587
ENSG00000003400	179.124733914817	0.477944842286073	0.122499035302058	3.90162127487419	9.55505702538729e-05	0.000685536680845467
ENSG00000003402	2070.71700303356	0.303094595298248	0.148422451280437	2.04210746206828	0.0411408728604298	0.0815735740139913
ENSG00000003436	301.666310166747	0.398628052479152	0.112980512842924	3.52829034360432	0.000418253122380324	0.00207975014524193
ENSG00000003509	461.980900901113	-0.151606221512705	0.0560519938544156	-2.70474270561139	0.00683573131032521	0.019230901387839
ENSG00000003756	4863.6944442517	-0.0456141513046863	0.0744971554783512	-0.612293865608624	0.54034334757661	0.641828666405958
ENSG00000003987	814.213902127378	-0.757174803696723	0.13536075936296	-5.59375410761708	2.22211605798357e-08	1.83657264475941e-06
ENSG00000003989	1075.65413084362	0.959953118068664	0.234063349648745	4.10125344061447	4.10918195116679e-05	0.000364764701235552
ENSG00000004059	4328.44736598178	-0.113213488402609	0.0814327629696386	-1.39026952143107	0.164447049375864	0.252116525395045
ENSG00000004139	1021.96283512498	-0.114491734906316	0.0938673307407633	-1.2197186603986	0.222571545192759	0.321421434809958
ENSG00000004142	2577.74560384898	-0.0406193241686095	0.0471091236592119	-0.862239010482348	0.388556006761703	0.499313582476893
ENSG00000004399	2509.24646509055	0.292957689518208	0.12520594716521	2.33980650401253	0.0192937329603455	0.0443159082237234
ENSG00000004455	1448.638736882	0.0837807698638708	0.0876723506184691	0.955612222928371	0.339268183915305	0.449601799302201
ENSG00000004468	229.237922782599	-0.467373854838471	0.198488672349548	-2.35466260772506	0.0185395302564108	0.0429134662706951
ENSG00000004478	5598.15779056026	0.826525876710383	0.153712066787215	5.37710469962355	7.56931612603669e-08	4.13177334357428e-06
ENSG00000004487	1821.16953123463	-0.106781765205116	0.05180085984692	-2.0613898209542	0.0392658651778263	0.078666165665081
ENSG00000004534	4467.20413067571	0.487734330228163	0.10704875044818	4.55618891566851	5.20900907760193e-06	7.76784850114563e-05
ENSG00000004660	5083.40684213287	-0.230503179066371	0.159664775880297	-1.44366957455402	0.148831943797201	0.232535229146011
ENSG00000004700	361.639764488176	-0.0026629093717624	0.129447690668948	-0.0205713161664087	0.98358762200601	0.988520426100983
ENSG00000004766	1276.94771313218	-0.492818417741525	0.0980811991846251	-5.02459616968853	5.04492952039304e-07	1.51856530769197e-05
ENSG00000004776	879.463001364305	0.280563482220369	0.168881214159147	1.66130663861747	0.0966518774097504	0.164371113069895
ENSG00000004777	2923.73839661001	0.194995534436657	0.106758277380878	1.82651443260908	0.067772809289385	0.123329820511807
ENSG00000004779	1818.27275160448	-0.257448747817881	0.103885537781833	-2.47819622745316	0.0132048500369342	0.0325756747369833
ENSG00000004799	2170.10993357774	0.631663188079921	0.247420450470212	2.55299506115793	0.0106801010647641	0.0274585586074575
ENSG00000004838	106.045508949682	0.722339340407309	0.128428320158192	5.62445525657866	1.86094279102675e-08	1.58277512150758e-06
ENSG00000004848	484.317471895028	-0.0493859039447755	0.154022395234343	-0.320641059176074	0.74848241843449	0.816338574463443
ENSG00000004864	396.580253990131	-0.137254465473075	0.182823378921348	-0.750748981245567	0.452803738891584	0.562621576063216
ENSG00000004866	772.583734044407	0.19705244719948	0.0762718294560105	2.5835547489146	0.00977879453245186	0.0256369149131251
ENSG00000004897	1823.71894187885	-0.37441737986505	0.0747692077936929	-5.00764139294028	5.51010721410024e-07	1.60253197684041e-05
ENSG00000004961	485.110962073121	-0.285981943995332	0.0979853913679767	-2.91861817361476	0.00351586583552752	0.0112177974499307
