logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000111181	0.969464381649515	4.76975424044952	7.10325237799741	6.26196084889525e-10	8.65140441433982e-06	12.4228676970497
ENSG00000083097	-0.625690411006771	5.82137308446512	-6.93441723912571	1.29349616154172e-09	8.65140441433982e-06	11.7356085289845
ENSG00000008130	0.370369675238487	5.49775477661331	6.74931274940568	2.85510930035618e-09	8.65140441433982e-06	10.9819718351383
ENSG00000175054	-0.498277448693181	4.46265863220033	-6.74274102225202	2.93628123414142e-09	8.65140441433982e-06	10.9405907421293
ENSG00000149451	1.18371851210058	4.13343384735501	6.72565670214411	3.15818252310716e-09	8.65140441433982e-06	10.8699464984741
ENSG00000105655	0.897027874716504	4.43724788073899	6.63709526360528	4.60451575224722e-09	8.65140441433982e-06	10.5197080395276
ENSG00000095002	-0.526648465660983	4.74160560893108	-6.6184123878855	4.98504575951639e-09	8.65140441433982e-06	10.4445621645859
ENSG00000189077	0.519377057359992	4.80188045828049	6.58431213738028	5.76178969449558e-09	8.65140441433982e-06	10.3106454985205
ENSG00000187266	0.763514207494806	3.41242731708239	6.57854515961653	5.90453753187815e-09	8.65140441433982e-06	10.2399606934714
ENSG00000106211	1.90685439810077	7.24567108994794	6.56773763969283	6.18156538979668e-09	8.65140441433982e-06	10.2161824751077
ENSG00000171206	0.546144156525023	6.76461853759317	6.54361436668476	6.84728653509051e-09	8.65140441433982e-06	10.1387792909677
ENSG00000196440	-0.516144667769464	4.97832224385551	-6.53517315864442	7.09664727405003e-09	8.65140441433982e-06	10.1115793937967
ENSG00000151320	-0.520618669552984	7.24668611378812	-6.47062069441126	9.32607549991694e-09	9.95714791030598e-06	9.84096180668564
ENSG00000168003	0.609241868457088	6.76011515301974	6.46552750349721	9.52902254045278e-09	9.95714791030598e-06	9.82535699874386
ENSG00000103657	-0.451519463761607	7.10834196984378	-6.41205179526857	1.19427905365763e-08	1.00237010297109e-05	9.60916095474496
ENSG00000180182	-0.462208946015855	4.78836403130602	-6.40977152254558	1.205820696676e-08	1.00237010297109e-05	9.60630192132519
ENSG00000088826	0.970222420551115	5.55630151368725	6.40441893959632	1.23334895437006e-08	1.00237010297109e-05	9.58680708779135
ENSG00000187796	0.991630956209067	2.78838580315334	6.42624809818947	1.12484694835501e-08	1.00237010297109e-05	9.57846935910621
ENSG00000183963	1.40465412950726	4.84722221240517	6.38598288247486	1.3330184211552e-08	1.02635402542523e-05	9.51196864977242
ENSG00000144306	-0.552272804197026	4.43137636843565	-6.34178866393893	1.60561802612721e-08	1.11850410020071e-05	9.32959912151759
ENSG00000131373	-0.611600452374392	3.40101890334961	-6.35192995252255	1.53855145615581e-08	1.11850410020071e-05	9.31673526746268
ENSG00000169733	0.571936737566253	5.50417293096774	6.32367580330729	1.7326843803536e-08	1.15215635455422e-05	9.26317258431316
ENSG00000083444	0.758218640254784	5.49219137955559	6.29802544755008	1.92983429079409e-08	1.22745851478377e-05	9.16052242567983
ENSG00000131446	0.484183365807414	6.00541533449484	6.27537603455542	2.12228758001477e-08	1.24187780032144e-05	9.06995033141406
ENSG00000059588	-0.882453754087528	6.06785385546847	-6.25002133513444	2.36033279920466e-08	1.29016856332321e-05	8.96879396868834
