GABAergic interneuron NR2F2+ CCK+	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein
L-type calcium channel
Cav1.3 and Cav1.2	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein
cyclic nucleotide phosphodiesterase	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein
outer membrane fusion	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein
LRRK2 activity	Phenotype	hp;snomedct;mesh;obo.go;wikipathways;reactome;doid;mondo;mesh;omim
 POa-derived cell NR2F2+ NRP2+	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein
mt mRNA	RNA	hgnc.symbol;mgi;rgd;ncbigene;refseq
M (+)ss sgmRNA	RNA	hgnc.symbol;mgi;rgd;ncbigene;refseq
D-Ala2-GIP-glu-PAL	Drug	drugbank;obo.chebi;pubchem.compound;mesh;ncit
Orf7a (-)ss sgmRNA	RNA	hgnc.symbol;mgi;rgd;ncbigene;refseq
S ds sgmRNA	RNA	hgnc.symbol;mgi;rgd;ncbigene;refseq
MGE -neural precursor cell LHX6+ NR2F2+	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein
Interferon 1 pathway	Phenotype	hp;snomedct;mesh;obo.go;wikipathways;reactome;doid;mondo;mesh;omim
cortical interneuron LHX6+ NR2F2+	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein
Signalling in striatal neurons	Phenotype	hp;snomedct;mesh;obo.go;wikipathways;reactome;doid;mondo;mesh;omim
Nsp3 (+)	RNA	hgnc.symbol;mgi;rgd;ncbigene;refseq
basket cell (P75b) NR2F2+ CCK+ CNR1+	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein
cortical GABAergic interneuron
 HTR3A+ VIP+ SP8+ NR2F1-	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein
pyramidal cell	Complex	obo.go;pr;mesh;cl;clo;uniprot;ncbiprotein
dsRNA	RNA	hgnc.symbol;mgi;rgd;ncbigene;refseq
cytokine storm	Phenotype	hp;snomedct;mesh;obo.go;wikipathways;reactome;doid;mondo;mesh;omim
Go to 'SHH signaling' submap	Phenotype	hp;snomedct;mesh;obo.go;wikipathways;reactome;doid;mondo;mesh;omim
RTC and transcription pw	Phenotype	hp;snomedct;mesh;obo.go;wikipathways;reactome;doid;mondo;mesh;omim
